RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Age_Group,Satisfaction_Group
1,15634602,Hargrave,619,France,Female,42,2,76486.0,1,Yes,Yes,101348.88,1,Complained,2,DIAMOND,464,Middle_Age,Dissatisfied
2,15647311,Hill,608,Spain,Female,41,1,83808.0,1,No,Yes,112542.58,0,Complained,3,DIAMOND,456,Middle_Age,Neutral
3,15619304,Onio,502,France,Female,42,8,159661.0,3,Yes,No,113931.57,1,Complained,3,DIAMOND,377,Middle_Age,Neutral
4,15701354,Boni,699,France,Female,39,1,76486.0,2,No,No,93826.63,0,Not Complained,5,GOLD,350,Middle_Age,Very Satisfied
5,15737888,Mitchell,850,Spain,Female,43,2,125511.0,1,Yes,Yes,79084.1,0,Not Complained,5,GOLD,425,Middle_Age,Very Satisfied
6,15574012,Chu,645,Spain,Male,44,8,113756.0,2,Yes,No,149756.71,1,Complained,5,DIAMOND,484,Middle_Age,Very Satisfied
7,15592531,Bartlett,822,France,Male,50,7,76486.0,2,Yes,Yes,10062.8,0,Not Complained,2,SILVER,206,Senior,Dissatisfied
8,15656148,Obinna,376,Germany,Female,29,4,115047.0,4,Yes,No,119346.88,1,Complained,2,DIAMOND,282,Early_Adult,Dissatisfied
9,15792365,He,501,France,Male,44,4,142051.0,2,No,Yes,74940.5,0,Not Complained,3,GOLD,251,Middle_Age,Neutral
10,15592389,H?,684,France,Male,27,2,134604.0,1,Yes,Yes,71725.73,0,Not Complained,3,GOLD,342,Early_Adult,Neutral
11,15767821,Bearce,528,France,Male,31,6,102017.0,2,No,No,80181.12,0,Not Complained,3,GOLD,264,Early_Adult,Neutral
12,15737173,Andrews,497,Spain,Male,24,3,76486.0,2,Yes,No,76390.01,0,Not Complained,3,GOLD,249,Young,Neutral
13,15632264,Kay,476,France,Female,34,10,76486.0,2,Yes,No,26260.98,0,Not Complained,3,SILVER,119,Early_Adult,Neutral
14,15691483,Chin,549,France,Female,25,5,76486.0,2,No,No,190857.79,0,Not Complained,3,PLATINUM,549,Young,Neutral
15,15600882,Scott,635,Spain,Female,35,7,76486.0,2,Yes,Yes,65951.65,0,Not Complained,2,GOLD,318,Early_Adult,Dissatisfied
16,15643966,Goforth,616,Germany,Male,45,3,143129.0,2,No,Yes,64327.26,0,Not Complained,5,GOLD,308,Middle_Age,Very Satisfied
17,15737452,Romeo,653,Germany,Male,58,1,132603.0,1,Yes,No,5097.67,1,Not Complained,2,SILVER,163,Senior,Dissatisfied
18,15788218,Henderson,549,Spain,Female,24,9,76486.0,2,Yes,Yes,14406.41,0,Not Complained,3,SILVER,544,Young,Neutral
19,15661507,Muldrow,587,Spain,Male,45,6,76486.0,1,No,No,158684.81,0,Not Complained,3,PLATINUM,732,Middle_Age,Neutral
20,15568982,Hao,726,France,Female,24,6,76486.0,2,Yes,Yes,54724.03,0,Not Complained,4,GOLD,477,Young,Satisfied
21,15577657,McDonald,732,France,Male,41,8,76486.0,2,Yes,Yes,170886.17,0,Not Complained,3,PLATINUM,568,Middle_Age,Neutral
22,15597945,Dellucci,636,Spain,Female,32,8,76486.0,2,Yes,No,138555.46,0,Not Complained,2,DIAMOND,336,Early_Adult,Dissatisfied
23,15699309,Gerasimov,510,Spain,Female,38,4,76486.0,1,Yes,No,118913.53,1,Complained,2,DIAMOND,887,Middle_Age,Dissatisfied
24,15725737,Mosman,669,France,Male,46,3,76486.0,2,No,Yes,8487.75,0,Not Complained,2,SILVER,665,Senior,Dissatisfied
25,15625047,Yen,846,France,Female,38,5,76486.0,1,Yes,Yes,187616.16,0,Not Complained,3,PLATINUM,225,Middle_Age,Neutral
26,15738191,Maclean,577,France,Male,25,3,76486.0,2,No,Yes,124508.29,0,Not Complained,3,PLATINUM,659,Young,Neutral
27,15736816,Young,756,Germany,Male,36,2,136816.0,1,Yes,Yes,170041.95,0,Not Complained,5,DIAMOND,236,Middle_Age,Very Satisfied
28,15700772,Nebechi,571,France,Male,44,9,76486.0,2,No,No,38433.35,0,Not Complained,4,PLATINUM,448,Middle_Age,Satisfied
29,15728693,McWilliams,574,Germany,Female,43,3,141349.0,1,Yes,Yes,100187.43,0,Not Complained,5,DIAMOND,499,Middle_Age,Very Satisfied
30,15656300,Lucciano,411,France,Male,29,0,59697.0,2,Yes,Yes,53483.21,0,Not Complained,2,GOLD,343,Early_Adult,Dissatisfied
31,15589475,Azikiwe,591,Spain,Female,39,3,76486.0,3,Yes,No,140469.38,1,Complained,3,DIAMOND,298,Middle_Age,Neutral
32,15706552,Odinakachukwu,533,France,Male,36,7,85312.0,1,No,Yes,156731.91,0,Not Complained,5,SILVER,628,Middle_Age,Very Satisfied
33,15750181,Sanderson,553,Germany,Male,41,9,110113.0,2,No,No,81898.81,0,Not Complained,3,GOLD,611,Middle_Age,Neutral
34,15659428,Maggard,520,Spain,Female,42,6,76486.0,2,Yes,Yes,34410.55,0,Not Complained,2,SILVER,922,Middle_Age,Dissatisfied
35,15732963,Clements,722,Spain,Female,29,9,76486.0,2,Yes,Yes,142033.07,0,Not Complained,5,PLATINUM,276,Early_Adult,Very Satisfied
36,15794171,Lombardo,475,France,Female,45,0,134264.0,1,Yes,No,27822.99,1,Complained,1,DIAMOND,877,Middle_Age,Very Dissatisfied
37,15788448,Watson,490,Spain,Male,31,3,145260.0,1,No,Yes,114066.77,0,Not Complained,4,SILVER,471,Early_Adult,Satisfied
38,15729599,Lorenzo,804,Spain,Male,33,7,76549.0,1,No,Yes,98453.45,0,Not Complained,2,GOLD,994,Early_Adult,Dissatisfied
39,15717426,Armstrong,850,France,Male,36,7,76486.0,1,Yes,Yes,40812.9,0,Not Complained,3,GOLD,944,Middle_Age,Neutral
40,15585768,Cameron,582,Germany,Male,41,6,70349.0,2,No,Yes,178074.04,0,Not Complained,5,GOLD,419,Middle_Age,Very Satisfied
41,15619360,Hsiao,472,Spain,Male,40,4,76486.0,1,Yes,No,70154.22,0,Not Complained,4,DIAMOND,545,Middle_Age,Satisfied
42,15738148,Clarke,465,France,Female,51,8,122522.0,1,No,No,181297.65,1,Complained,5,SILVER,828,Senior,Very Satisfied
43,15687946,Osborne,556,France,Female,61,2,117419.0,1,Yes,Yes,94153.83,0,Not Complained,3,PLATINUM,789,Elder,Neutral
44,15755196,Lavine,834,France,Female,49,2,131395.0,1,No,No,194365.76,1,Complained,2,GOLD,567,Senior,Dissatisfied
45,15684171,Bianchi,660,Spain,Female,61,5,155931.0,1,Yes,Yes,158338.39,0,Not Complained,1,PLATINUM,884,Elder,Very Dissatisfied
46,15754849,Tyler,776,Germany,Female,32,4,109421.0,2,Yes,Yes,126517.46,0,Not Complained,1,SILVER,296,Early_Adult,Very Dissatisfied
47,15602280,Martin,829,Germany,Female,27,9,112046.0,1,Yes,Yes,119708.21,1,Complained,3,DIAMOND,779,Early_Adult,Neutral
48,15771573,Okagbue,637,Germany,Female,39,9,137844.0,1,Yes,Yes,117622.8,1,Complained,1,SILVER,730,Middle_Age,Very Dissatisfied
49,15766205,Yin,550,Germany,Male,38,2,103391.0,1,No,Yes,90878.13,0,Not Complained,3,DIAMOND,960,Middle_Age,Neutral
50,15771873,Buccho,776,Germany,Female,37,2,103769.0,2,Yes,No,194099.12,0,Not Complained,1,SILVER,268,Middle_Age,Very Dissatisfied
51,15616550,Chidiebele,698,Germany,Male,44,10,116363.0,2,Yes,No,198059.16,0,Not Complained,4,SILVER,829,Middle_Age,Satisfied
52,15768193,Trevisani,585,Germany,Male,36,5,146051.0,2,No,No,86424.57,0,Not Complained,3,SILVER,665,Middle_Age,Neutral
53,15683553,O'Brien,788,France,Female,33,5,76486.0,2,No,No,116978.19,0,Not Complained,3,GOLD,982,Early_Adult,Neutral
54,15702298,Parkhill,655,Germany,Male,41,8,125562.0,1,No,No,164040.94,1,Complained,3,SILVER,343,Middle_Age,Neutral
55,15569590,Yoo,601,Germany,Male,42,1,98496.0,1,Yes,No,40014.76,1,Complained,2,DIAMOND,225,Middle_Age,Dissatisfied
56,15760861,Phillipps,619,France,Male,43,1,125212.0,1,Yes,Yes,113410.49,0,Not Complained,5,SILVER,657,Middle_Age,Very Satisfied
57,15630053,Tsao,656,France,Male,45,5,127864.0,1,Yes,No,87107.57,0,Not Complained,2,PLATINUM,221,Middle_Age,Dissatisfied
58,15647091,Endrizzi,725,Germany,Male,19,0,75888.0,1,No,No,45613.75,0,Not Complained,2,PLATINUM,406,Young,Dissatisfied
59,15623944,T'ien,511,Spain,Female,66,4,76486.0,1,Yes,No,1643.11,1,Complained,5,SILVER,549,Elder,Very Satisfied
60,15804771,Velazquez,614,France,Male,51,4,40686.0,1,Yes,Yes,46775.28,0,Not Complained,4,PLATINUM,954,Senior,Satisfied
61,15651280,Hunter,742,Germany,Male,35,5,136857.0,1,No,No,84509.57,0,Not Complained,4,GOLD,823,Early_Adult,Satisfied
62,15773469,Clark,687,Germany,Female,27,9,152329.0,2,No,No,126494.82,0,Not Complained,5,DIAMOND,769,Early_Adult,Very Satisfied
63,15702014,Jeffrey,555,Spain,Male,33,1,56085.0,2,No,No,178798.13,0,Not Complained,5,PLATINUM,481,Early_Adult,Very Satisfied
64,15751208,Pirozzi,684,Spain,Male,56,8,78707.0,1,Yes,Yes,99398.36,0,Not Complained,4,SILVER,903,Senior,Satisfied
65,15592461,Jackson,603,Germany,Male,26,4,109166.0,1,Yes,Yes,92840.67,0,Not Complained,3,PLATINUM,882,Early_Adult,Neutral
66,15789484,Hammond,751,Germany,Female,36,6,169831.0,2,Yes,Yes,27758.36,0,Complained,5,GOLD,379,Middle_Age,Very Satisfied
67,15696061,Brownless,581,Germany,Female,34,1,101633.0,1,Yes,No,110431.51,0,Complained,3,PLATINUM,469,Early_Adult,Neutral
68,15641582,Chibugo,735,Germany,Male,43,10,123180.0,2,Yes,Yes,196673.28,0,Complained,3,PLATINUM,683,Middle_Age,Neutral
69,15638424,Glauert,661,Germany,Female,35,5,150726.0,2,No,Yes,113656.85,0,Complained,1,GOLD,770,Early_Adult,Very Dissatisfied
70,15755648,Pisano,675,France,Female,21,8,98373.0,1,Yes,No,18203.0,0,Not Complained,5,SILVER,985,Young,Very Satisfied
71,15703793,Konovalova,738,Germany,Male,58,2,133745.0,4,Yes,No,28373.86,1,Complained,4,GOLD,725,Senior,Satisfied
72,15620344,McKee,813,France,Male,29,6,76486.0,1,Yes,No,33953.87,0,Not Complained,3,PLATINUM,259,Early_Adult,Neutral
73,15812518,Palermo,657,Spain,Female,37,0,163607.0,1,No,Yes,44203.55,0,Not Complained,2,GOLD,979,Middle_Age,Dissatisfied
74,15779052,Ballard,604,Germany,Female,25,5,157781.0,2,Yes,Yes,58426.81,0,Not Complained,2,SILVER,988,Young,Dissatisfied
75,15770811,Wallace,519,France,Male,36,9,76486.0,2,No,Yes,145562.4,0,Not Complained,2,PLATINUM,833,Middle_Age,Dissatisfied
76,15780961,Cavenagh,735,France,Female,21,1,178718.0,2,Yes,No,22388.0,0,Not Complained,1,PLATINUM,527,Young,Very Dissatisfied
77,15614049,Hu,664,France,Male,55,8,76486.0,2,Yes,Yes,139161.64,0,Not Complained,5,SILVER,220,Senior,Very Satisfied
78,15662085,Read,678,France,Female,32,9,76486.0,1,Yes,Yes,148210.64,0,Not Complained,4,GOLD,983,Early_Adult,Satisfied
79,15575185,Bushell,757,Spain,Male,33,5,77253.0,1,No,Yes,194239.63,0,Not Complained,3,SILVER,582,Early_Adult,Neutral
80,15803136,Postle,416,Germany,Female,41,10,122190.0,2,Yes,No,98301.61,0,Not Complained,3,SILVER,281,Middle_Age,Neutral
81,15706021,Buley,665,France,Female,34,1,96646.0,2,No,No,171413.66,0,Not Complained,3,DIAMOND,798,Early_Adult,Neutral
82,15663706,Leonard,777,France,Female,32,2,76486.0,1,Yes,No,136458.19,1,Complained,5,SILVER,917,Early_Adult,Very Satisfied
83,15641732,Mills,543,France,Female,36,3,76486.0,2,No,No,26019.59,0,Not Complained,2,DIAMOND,255,Middle_Age,Dissatisfied
84,15701164,Onyeorulu,506,France,Female,34,4,90308.0,1,Yes,Yes,159235.29,0,Not Complained,4,SILVER,511,Early_Adult,Satisfied
85,15738751,Beit,493,France,Female,46,4,76486.0,2,Yes,No,1907.66,0,Not Complained,1,SILVER,498,Senior,Very Dissatisfied
86,15805254,Ndukaku,652,Spain,Female,75,10,76486.0,2,Yes,Yes,114675.75,0,Not Complained,5,DIAMOND,651,Elder,Very Satisfied
87,15762418,Gant,750,Spain,Male,22,3,121682.0,1,Yes,No,128643.35,1,Complained,2,SILVER,852,Young,Dissatisfied
88,15625759,Rowley,729,France,Male,30,9,76486.0,2,Yes,No,151869.35,0,Not Complained,1,DIAMOND,807,Early_Adult,Very Dissatisfied
89,15622897,Sharpe,646,France,Female,46,4,76486.0,3,Yes,No,93251.42,1,Complained,3,PLATINUM,470,Senior,Neutral
90,15767954,Osborne,635,Germany,Female,28,3,81624.0,2,Yes,Yes,156791.36,0,Not Complained,1,DIAMOND,659,Early_Adult,Very Dissatisfied
91,15757535,Heap,647,Spain,Female,44,5,76486.0,3,Yes,Yes,174205.22,1,Complained,3,DIAMOND,752,Middle_Age,Neutral
92,15731511,Ritchie,808,France,Male,45,7,118627.0,2,Yes,No,147132.46,0,Not Complained,1,SILVER,559,Middle_Age,Very Dissatisfied
93,15809248,Cole,524,France,Female,36,10,76486.0,2,Yes,No,109614.57,0,Not Complained,2,GOLD,375,Middle_Age,Dissatisfied
94,15640635,Capon,769,France,Male,29,8,76486.0,2,Yes,Yes,172290.61,0,Not Complained,2,DIAMOND,411,Early_Adult,Dissatisfied
95,15676966,Capon,730,Spain,Male,42,4,76486.0,2,No,Yes,85982.47,0,Not Complained,4,DIAMOND,722,Middle_Age,Satisfied
96,15699461,Fiorentini,515,Spain,Male,35,10,176274.0,1,No,Yes,121277.78,0,Not Complained,1,GOLD,231,Early_Adult,Very Dissatisfied
97,15738721,Graham,773,Spain,Male,41,9,102827.0,1,No,Yes,64595.25,0,Not Complained,5,DIAMOND,488,Middle_Age,Very Satisfied
98,15693683,Yuille,814,Germany,Male,29,8,97086.0,2,Yes,Yes,197276.13,0,Not Complained,2,GOLD,965,Early_Adult,Dissatisfied
99,15604348,Allard,710,Spain,Male,22,8,76486.0,2,No,No,99645.04,0,Not Complained,4,SILVER,289,Young,Satisfied
100,15633059,Fanucci,413,France,Male,34,9,76486.0,2,No,No,6534.18,0,Not Complained,1,PLATINUM,449,Early_Adult,Very Dissatisfied
101,15808582,Fu,665,France,Female,40,6,76486.0,1,Yes,Yes,161848.03,0,Not Complained,2,SILVER,651,Middle_Age,Dissatisfied
102,15743192,Hung,623,France,Female,44,6,76486.0,2,No,No,167162.43,0,Not Complained,2,DIAMOND,520,Middle_Age,Dissatisfied
103,15580146,Hung,738,France,Male,31,9,82674.0,1,Yes,No,41970.72,0,Not Complained,4,DIAMOND,234,Early_Adult,Satisfied
104,15776605,Bradley,528,Spain,Male,36,7,76486.0,2,Yes,No,60536.56,0,Not Complained,5,SILVER,458,Middle_Age,Very Satisfied
105,15804919,Dunbabin,670,Spain,Female,65,1,76486.0,1,Yes,Yes,177655.68,1,Complained,2,GOLD,915,Elder,Dissatisfied
106,15613854,Mauldon,622,Spain,Female,46,4,107073.0,2,Yes,Yes,30984.59,1,Complained,3,GOLD,299,Senior,Neutral
107,15599195,Stiger,582,Germany,Male,32,1,88939.0,1,Yes,Yes,10054.53,0,Not Complained,4,GOLD,838,Early_Adult,Satisfied
108,15812878,Parsons,785,Germany,Female,36,2,99807.0,1,No,Yes,36976.52,0,Not Complained,5,PLATINUM,786,Middle_Age,Very Satisfied
109,15602312,Walkom,605,Spain,Male,33,5,150093.0,1,No,No,71862.79,0,Not Complained,3,DIAMOND,509,Early_Adult,Neutral
110,15744689,T'ang,479,Germany,Male,35,9,92834.0,1,Yes,No,99449.86,1,Complained,3,DIAMOND,328,Early_Adult,Neutral
111,15803526,Eremenko,685,Germany,Male,30,3,90537.0,1,No,Yes,63082.88,0,Not Complained,4,SILVER,347,Early_Adult,Satisfied
112,15665790,Rowntree,538,Germany,Male,39,7,108055.0,2,Yes,No,27231.26,0,Not Complained,5,SILVER,534,Middle_Age,Very Satisfied
113,15715951,Thorpe,562,France,Male,42,2,100238.0,1,No,No,86797.41,0,Not Complained,5,PLATINUM,709,Middle_Age,Very Satisfied
114,15591100,Chiemela,675,Spain,Male,36,9,106191.0,1,No,Yes,22994.32,0,Not Complained,4,SILVER,749,Middle_Age,Satisfied
115,15609618,Fanucci,721,Germany,Male,28,9,154476.0,2,No,Yes,101300.94,1,Complained,5,PLATINUM,541,Early_Adult,Very Satisfied
116,15675522,Ko,628,Germany,Female,30,9,132351.0,2,Yes,Yes,74169.13,0,Not Complained,2,GOLD,736,Early_Adult,Dissatisfied
117,15705512,Welch,668,Germany,Female,37,6,167864.0,1,Yes,No,115638.29,0,Not Complained,4,SILVER,529,Middle_Age,Satisfied
118,15698028,Duncan,506,France,Female,41,1,76486.0,2,Yes,No,31766.3,0,Not Complained,4,GOLD,594,Middle_Age,Satisfied
119,15661670,Chidozie,524,Germany,Female,31,8,107819.0,1,Yes,No,199725.39,1,Complained,1,SILVER,462,Early_Adult,Very Dissatisfied
120,15600781,Wu,699,Germany,Male,34,4,185174.0,2,Yes,No,120834.48,0,Not Complained,3,PLATINUM,429,Early_Adult,Neutral
121,15682472,Culbreth,828,France,Male,34,8,129433.0,2,No,No,38131.77,0,Not Complained,4,SILVER,370,Early_Adult,Satisfied
122,15580203,Kennedy,674,Spain,Male,39,6,120193.0,1,No,No,100130.95,0,Not Complained,1,PLATINUM,510,Middle_Age,Very Dissatisfied
123,15690673,Cameron,656,France,Female,39,6,76486.0,2,Yes,No,141069.88,0,Not Complained,4,DIAMOND,638,Middle_Age,Satisfied
124,15760085,Calabresi,684,Germany,Female,48,10,126384.0,1,Yes,Yes,198129.36,0,Not Complained,1,GOLD,462,Senior,Very Dissatisfied
125,15779659,Zetticci,625,France,Female,28,3,76486.0,1,No,No,183646.41,0,Not Complained,4,GOLD,718,Early_Adult,Satisfied
126,15627360,Fuller,432,France,Male,42,9,152603.0,1,Yes,No,110265.24,1,Complained,3,DIAMOND,437,Middle_Age,Neutral
127,15671137,MacDonald,549,France,Female,52,1,76486.0,1,No,Yes,8636.05,1,Complained,4,DIAMOND,485,Senior,Satisfied
128,15782688,Piccio,625,Germany,Male,56,0,148507.0,1,Yes,No,46824.08,1,Complained,3,PLATINUM,410,Senior,Neutral
129,15575492,Kennedy,828,France,Female,41,7,76486.0,2,Yes,No,171378.77,0,Not Complained,2,PLATINUM,666,Middle_Age,Dissatisfied
130,15591607,Fernie,770,France,Male,24,9,101827.0,1,Yes,No,167256.35,0,Not Complained,4,GOLD,730,Young,Satisfied
131,15740404,He,758,France,Female,34,3,76486.0,2,Yes,Yes,124226.16,0,Not Complained,2,PLATINUM,375,Early_Adult,Dissatisfied
132,15718369,Kaodilinakachukwu,795,Germany,Female,33,9,130862.0,1,Yes,Yes,114935.21,0,Not Complained,5,GOLD,411,Early_Adult,Very Satisfied
133,15677871,Cocci,687,France,Male,38,9,122571.0,1,Yes,Yes,35608.88,0,Not Complained,4,DIAMOND,595,Middle_Age,Satisfied
